タイムスタンプ,ID(イニシャル＋誕生月、例→HarutoWakayama→HW04),年齢,性別,条件,質問項目 [Q1. 自分が意図したジェスチャが正確に認識された。],質問項目 [Q2. システムはジェスチャに対して遅延なくスムーズに反応した。],質問項目 [Q3. 意図しないジェスチャが誤って認識されることはなかった。],質問項目 [Q4. ジェスチャを行う際の身体的負担は少なく、疲れを感じなかった。],質問項目 [Q5. 手や指の動きに無理がなく、自然に操作できた。],質問項目 [Q6. 各ジェスチャの動作（割り当て）は直感的で覚えやすかった。],質問項目 [Q7. 何度も練習しなくても、すぐに操作に慣れることができた。],質問項目 [Q8. 総合的に見て、このジェスチャ入力機能に満足している。],質問項目 [Q9. 今後VRを使用する際、このジェスチャ操作を使いたいと思う。],その他コメント・感想(あれば)
2026/01/17 22:50:28,AM04,24,female,提案デバイス,とてもそう思う,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,ややそう思う,ややそう思う,とてもそう思う,とてもそう思う,
2026/01/17 23:13:03,AM04,24,female,コントローラー,ややそう思う,どちらとも言えない,どちらとも言えない,あまりそう思わない,あまりそう思わない,ややそう思う,どちらとも言えない,ややそう思う,ややそう思う,
2026/01/17 23:50:36,HY07,24,male,コントローラー,どちらとも言えない,ややそう思う,どちらとも言えない,どちらとも言えない,どちらとも言えない,あまりそう思わない,あまりそう思わない,どちらとも言えない,どちらとも言えない,
2026/01/18 0:06:47,HY07,24,male,提案デバイス,ややそう思う,ややそう思う,どちらとも言えない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,どちらとも言えない,ややそう思う,
2026/01/18 20:39:35,MY05,24,female,コントローラー,とてもそう思う,とてもそう思う,ややそう思う,とてもそう思う,ややそう思う,ややそう思う,とてもそう思う,とてもそう思う,ややそう思う,
2026/01/18 20:57:15,MY05,24,female,提案デバイス,とてもそう思う,ややそう思う,とてもそう思う,ややそう思う,ややそう思う,とてもそう思う,とてもそう思う,ややそう思う,ややそう思う,
2026/01/19 0:48:19,SS05,24,male,コントローラー,ややそう思う,とてもそう思う,ややそう思う,ややそう思う,どちらとも言えない,ややそう思う,ややそう思う,どちらとも言えない,どちらとも言えない,一部ポーズはすごくわかりやすく使いやすいが，逆に一部使いにくいポーズがあり使う気は半々の気持ち
2026/01/19 1:13:43,SS05,24,male,提案デバイス,とてもそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,コントローラよりも提案手法のほうが直感的な操作が出来てよかった．
2026/01/20 14:39:32,MT04,25,female,提案デバイス,とてもそう思う,とてもそう思う,ややそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,
2026/01/20 15:00:36,MT04,25,female,コントローラー,まったくそう思わない,ややそう思う,あまりそう思わない,どちらとも言えない,あまりそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,
2026/01/20 17:29:05,WE01,25,female,コントローラー,とてもそう思う,とてもそう思う,ややそう思う,とてもそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,
2026/01/20 17:49:15,WE01,25,female,提案デバイス,とてもそう思う,とてもそう思う,とてもそう思う,ややそう思う,ややそう思う,とてもそう思う,とてもそう思う,ややそう思う,ややそう思う,
2026/01/20 19:32:56,EM09,23,male,コントローラー,あまりそう思わない,ややそう思う,ややそう思う,あまりそう思わない,あまりそう思わない,まったくそう思わない,どちらとも言えない,どちらとも言えない,どちらとも言えない,
2026/01/20 19:48:27,EM09,23,male,提案デバイス,とてもそう思う,とてもそう思う,ややそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,ややそう思う,ジェスチャーが直感的で操作しやすかった
2026/01/22 17:55:15,MK08,25,male,提案デバイス,ややそう思う,ややそう思う,あまりそう思わない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,
2026/01/22 18:20:31,MK08,25,male,コントローラー,まったくそう思わない,あまりそう思わない,あまりそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,まったくそう思わない,どちらとも言えない,
2026/01/22 18:47:41,MT10,23,male,提案デバイス,とてもそう思う,とてもそう思う,ややそう思う,どちらとも言えない,ややそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,
2026/01/22 19:09:01,MT10,23,male,コントローラー,ややそう思う,とてもそう思う,まったくそう思わない,あまりそう思わない,ややそう思う,ややそう思う,ややそう思う,どちらとも言えない,どちらとも言えない,
2026/01/23 16:57:13,CS10,24,female,コントローラー,ややそう思う,とてもそう思う,どちらとも言えない,ややそう思う,とてもそう思う,まったくそう思わない,ややそう思う,どちらとも言えない,あまりそう思わない,
2026/01/23 17:13:46,CS10,24,female,提案デバイス,とてもそう思う,ややそう思う,とてもそう思う,ややそう思う,どちらとも言えない,とてもそう思う,とてもそう思う,とてもそう思う,ややそう思う,
2026/01/23 19:12:12,KM02,23,male,提案デバイス,とてもそう思う,とてもそう思う,ややそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,とてもそう思う,基本の姿勢が指を開く必要があるため少し疲れる．
2026/01/23 19:35:26,KM02,23,male,コントローラー,ややそう思う,どちらとも言えない,あまりそう思わない,あまりそう思わない,どちらとも言えない,まったくそう思わない,あまりそう思わない,あまりそう思わない,あまりそう思わない,提案デバイスではHMDを使っていなかったため，コントローラ仕様時はHMDを装着することによる疲れの影響があると感じた．
2026/01/23 22:16:05,YM11,24,male,提案デバイス,ややそう思う,ややそう思う,どちらとも言えない,どちらとも言えない,どちらとも言えない,ややそう思う,ややそう思う,どちらとも言えない,どちらとも言えない,
2026/01/23 22:35:44,YM11,24,male,コントローラー,どちらとも言えない,どちらとも言えない,ややそう思う,あまりそう思わない,どちらとも言えない,あまりそう思わない,あまりそう思わない,あまりそう思わない,どちらとも言えない,