タイムスタンプ,ID(イニシャル＋誕生月、例→HarutoWakayama→HW04),年齢,性別,条件,質問項目 [このシステムを頻繁に使用したいと思う。 (I think that I would like to use this system frequently.)],質問項目 [このシステムは必要以上に複雑だと感じた。 (I found the system unnecessarily complex.)],質問項目 [このシステムは使いやすいと思った。 (I thought the system was easy to use.)],質問項目 [このシステムを使用するには、技術者のサポートが必要だと思う。 (I think that I would need the support of a technical person to be able to use this system.)],質問項目 [このシステムのさまざまな機能は、うまく統合されている（よくまとまっている）と感じた。 (I found the various functions in this system were well integrated.)],質問項目 [このシステムには一貫性がない（矛盾が多い）と思った。 (I thought there was too much inconsistency in this system.)],質問項目 [多くの人は、このシステムの使い方をすぐに習得できるだろうと思う。 (I would imagine that most people would learn to use this system very quickly.)],質問項目 [このシステムは非常に扱いづらい（面倒だ）と感じた。 (I found the system very cumbersome to use.)],質問項目 [このシステムを使っていて、自信を持って操作できた。 (I felt very confident using the system.)],質問項目 [このシステムを使い始める前に、多くのことを学ぶ必要があると感じた。 (I needed to learn a lot of things before I could get going with this system.)],その他コメント・感想(あれば)
2026/01/17 22:49:01,AM04,24,female,提案デバイス,とてもそう思う,あまりそう思わない,とてもそう思う,ややそう思う,とてもそう思う,まったくそう思わない,ややそう思う,あまりそう思わない,とてもそう思う,あまりそう思わない,
2026/01/17 23:12:03,AM04,24,female,コントローラー,どちらとも言えない,ややそう思う,あまりそう思わない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,ややそう思う,
2026/01/17 23:49:17,HY07,24,male,コントローラー,どちらとも言えない,ややそう思う,あまりそう思わない,ややそう思う,どちらとも言えない,どちらとも言えない,あまりそう思わない,どちらとも言えない,どちらとも言えない,ややそう思う,
2026/01/18 0:05:55,HY07,24,male,提案デバイス,どちらとも言えない,あまりそう思わない,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,どちらとも言えない,どちらとも言えない,
2026/01/18 0:48:27,AM04,24,female,キーボード,ややそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,
2026/01/18 1:08:51,AM04,24,female,提案デバイス,とてもそう思う,ややそう思う,とてもそう思う,ややそう思う,とてもそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,
2026/01/18 1:36:17,AM04,24,female,コントローラー,あまりそう思わない,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,あまりそう思わない,ややそう思う,とてもそう思う,あまりそう思わない,あまりそう思わない,
2026/01/18 18:58:18,MY05,24,female,キーボード,ややそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,
2026/01/18 19:34:41,MY05,24,female,提案デバイス,ややそう思う,あまりそう思わない,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,どちらとも言えない,どちらとも言えない,あまりそう思わない,ややそう思う,
2026/01/18 20:08:59,MY05,24,female,コントローラー,ややそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,ややそう思う,あまりそう思わない,とてもそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,
2026/01/18 20:38:42,MY05,24,female,コントローラー,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,
2026/01/18 20:56:27,MY05,24,female,提案デバイス,ややそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,ややそう思う,あまりそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,あまりそう思わない,
2026/01/19 0:46:15,SS05,24,male,コントローラー,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,どちらとも言えない,あまりそう思わない,ややそう思う,ややそう思う,一部直感に反したジェスチャーがあって，困惑した
2026/01/19 1:12:28,SS05,24,male,提案デバイス,とてもそう思う,まったくそう思わない,とてもそう思う,どちらとも言えない,ややそう思う,あまりそう思わない,とてもそう思う,あまりそう思わない,とてもそう思う,ややそう思う,メロイックサインがやりやすかった
2026/01/19 16:52:50,SS05,24,male,提案デバイス,ややそう思う,どちらとも言えない,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,とてもそう思う,ややそう思う,難しいと思うが，削除の方法がもう少し使いやすいものだとより良さそう
2026/01/19 17:12:49,SS05,24,male,コントローラー,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,直観的で操作しやすかった
2026/01/19 17:23:17,SS05,24,male,キーボード,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,とてもそう思う,あまりそう思わない,親のような安心感
2026/01/19 21:54:57,HY07,24,male,キーボード,あまりそう思わない,あまりそう思わない,あまりそう思わない,どちらとも言えない,どちらとも言えない,どちらとも言えない,どちらとも言えない,ややそう思う,どちらとも言えない,どちらとも言えない,
2026/01/19 22:19:23,HY07,24,male,提案デバイス,ややそう思う,どちらとも言えない,ややそう思う,どちらとも言えない,どちらとも言えない,どちらとも言えない,どちらとも言えない,どちらとも言えない,どちらとも言えない,どちらとも言えない,
2026/01/19 22:38:00,HY07,24,male,コントローラー,どちらとも言えない,あまりそう思わない,どちらとも言えない,どちらとも言えない,あまりそう思わない,どちらとも言えない,ややそう思う,あまりそう思わない,どちらとも言えない,どちらとも言えない,
2026/01/20 13:33:20,MT04,25,female,コントローラー,まったくそう思わない,あまりそう思わない,まったくそう思わない,あまりそう思わない,まったくそう思わない,あまりそう思わない,ややそう思う,とてもそう思う,まったくそう思わない,あまりそう思わない,手がぶれてエイムが難しかったです
2026/01/20 13:46:38,MT04,25,female,キーボード,ややそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,あまりそう思わない,あまりそう思わない,あまりそう思わない,どちらとも言えない,普段のキーボードとぴっちやストロークの深さが異なるため，難しいと感じました
2026/01/20 14:17:07,MT04,25,female,提案デバイス,ややそう思う,どちらとも言えない,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,どちらとも言えない,ややそう思う,自分のタイピングのクセが分かり，もっとポジションがしっかりしていればより早く正確に打てたと思いました
2026/01/20 14:38:51,MT04,25,female,提案デバイス,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,
2026/01/20 14:59:05,MT04,25,female,コントローラー,まったくそう思わない,とてもそう思う,まったくそう思わない,どちらとも言えない,まったくそう思わない,とてもそう思う,あまりそう思わない,とてもそう思う,まったくそう思わない,ややそう思う,直感的な操作ができず，手の自由度も低いため不便だと感じました
2026/01/20 16:11:11,WE01,25,female,提案デバイス,ややそう思う,ややそう思う,あまりそう思わない,ややそう思う,どちらとも言えない,どちらとも言えない,ややそう思う,どちらとも言えない,あまりそう思わない,とてもそう思う,
2026/01/20 16:41:27,WE01,25,female,コントローラー,ややそう思う,あまりそう思わない,あまりそう思わない,まったくそう思わない,あまりそう思わない,まったくそう思わない,とてもそう思う,あまりそう思わない,ややそう思う,まったくそう思わない,
2026/01/20 17:03:51,WE01,25,female,キーボード,ややそう思う,あまりそう思わない,ややそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,
2026/01/20 17:28:03,WE01,25,female,コントローラー,とてもそう思う,ややそう思う,ややそう思う,まったくそう思わない,とてもそう思う,どちらとも言えない,とてもそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,
2026/01/20 17:48:27,WE01,25,female,提案デバイス,とてもそう思う,あまりそう思わない,ややそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,あまりそう思わない,とてもそう思う,まったくそう思わない,
2026/01/20 18:27:56,EM09,23,male,コントローラー,まったくそう思わない,とてもそう思う,まったくそう思わない,どちらとも言えない,まったくそう思わない,ややそう思う,あまりそう思わない,とてもそう思う,どちらとも言えない,ややそう思う,変換候補が入力したとおりに出てこないことが多く扱いづらかった．
2026/01/20 18:42:31,EM09,23,male,キーボード,あまりそう思わない,どちらとも言えない,どちらとも言えない,まったくそう思わない,あまりそう思わない,あまりそう思わない,とてもそう思う,どちらとも言えない,ややそう思う,まったくそう思わない,最初に出てくる変換候補が思っているものと違うことがあり，タイプミスをしているのかと勘違いしてしまうことがあった．
2026/01/20 19:10:56,EM09,23,male,提案デバイス,ややそう思う,あまりそう思わない,とてもそう思う,どちらとも言えない,とてもそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,ややそう思う,どちらとも言えない,
2026/01/20 19:31:48,EM09,23,male,コントローラー,あまりそう思わない,あまりそう思わない,どちらとも言えない,まったくそう思わない,ややそう思う,どちらとも言えない,ややそう思う,どちらとも言えない,あまりそう思わない,あまりそう思わない,
2026/01/20 19:46:58,EM09,23,male,提案デバイス,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,ややそう思う,とてもそう思う,とてもそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,
2026/01/22 16:50:43,MK08,25,male,提案デバイス,あまりそう思わない,どちらとも言えない,あまりそう思わない,ややそう思う,ややそう思う,どちらとも言えない,どちらとも言えない,ややそう思う,あまりそう思わない,ややそう思う,途中で何を打っていたか忘れてしまうことが多かった
2026/01/22 17:17:30,MK08,25,male,コントローラー,とてもそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,ややそう思う,ややそう思う,とてもそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,
2026/01/22 17:32:37,MK08,25,male,キーボード,とてもそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,まったくそう思わない,まったくそう思わない,ややそう思う,あまりそう思わない,あまりそう思わない,まったくそう思わない,
2026/01/22 17:52:45,MK08,25,male,提案デバイス,ややそう思う,あまりそう思わない,ややそう思う,まったくそう思わない,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,
2026/01/22 18:19:10,MK08,25,male,コントローラー,あまりそう思わない,とてもそう思う,あまりそう思わない,とてもそう思う,ややそう思う,あまりそう思わない,まったくそう思わない,とてもそう思う,あまりそう思わない,とてもそう思う,
2026/01/22 18:46:35,MT10,23,male,提案デバイス,ややそう思う,あまりそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,とてもそう思う,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,
2026/01/22 19:07:23,MT10,23,male,コントローラー,あまりそう思わない,ややそう思う,どちらとも言えない,ややそう思う,どちらとも言えない,あまりそう思わない,あまりそう思わない,あまりそう思わない,あまりそう思わない,ややそう思う,
2026/01/22 19:33:33,MT10,23,male,提案デバイス,とてもそう思う,ややそう思う,とてもそう思う,とてもそう思う,とてもそう思う,まったくそう思わない,どちらとも言えない,まったくそう思わない,ややそう思う,あまりそう思わない,
2026/01/22 19:57:44,MT10,23,male,コントローラー,あまりそう思わない,まったくそう思わない,あまりそう思わない,とてもそう思う,どちらとも言えない,まったくそう思わない,ややそう思う,ややそう思う,あまりそう思わない,まったくそう思わない,
2026/01/22 20:09:34,MT10,23,male,キーボード,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,とてもそう思う,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,
2026/01/23 16:57:24,CS10,24,female,コントローラー,あまりそう思わない,ややそう思う,どちらとも言えない,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,ややそう思う,
2026/01/23 17:12:48,CS10,24,female,提案デバイス,ややそう思う,あまりそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,あまりそう思わない,とてもそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,コントローラよりも使いやすかったです
2026/01/23 17:54:00,KM02,23,male,キーボード,ややそう思う,とてもそう思う,どちらとも言えない,どちらとも言えない,とてもそう思う,まったくそう思わない,あまりそう思わない,ややそう思う,とてもそう思う,ややそう思う,予測変換を選択する際，長い単語は先頭に出てこないので通過してしまうことが多かった．
2026/01/23 18:25:24,KM02,23,male,提案デバイス,どちらとも言えない,あまりそう思わない,あまりそう思わない,とてもそう思う,とてもそう思う,ややそう思う,まったくそう思わない,どちらとも言えない,あまりそう思わない,どちらとも言えない,nを親指で押してしまうのでnを入力するときにエンターになってしまうことが多かった
2026/01/23 18:50:21,KM02,23,male,コントローラー,あまりそう思わない,まったくそう思わない,ややそう思う,あまりそう思わない,とてもそう思う,まったくそう思わない,ややそう思う,ややそう思う,ややそう思う,まったくそう思わない,エンターがすぐに押せないので単語入力ミスが一番少ない
2026/01/23 19:10:23,KM02,23,male,提案デバイス,とてもそう思う,まったくそう思わない,とてもそう思う,あまりそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,薬指と小指の入力が他の部位に比べて多少ミスが多かった．特に小指が押しにくかった．
2026/01/23 19:32:10,KM02,23,male,コントローラー,あまりそう思わない,あまりそう思わない,あまりそう思わない,とてもそう思う,ややそう思う,どちらとも言えない,どちらとも言えない,とてもそう思う,ややそう思う,どちらとも言えない,ピースサインとロックンロールのジェスチャーが直感的にできず，入力に時間がかかった．
2026/01/23 22:15:12,YM11,24,male,提案デバイス,どちらとも言えない,あまりそう思わない,ややそう思う,あまりそう思わない,どちらとも言えない,あまりそう思わない,どちらとも言えない,あまりそう思わない,どちらとも言えない,あまりそう思わない,
2026/01/23 22:34:12,YM11,24,male,コントローラー,どちらとも言えない,どちらとも言えない,どちらとも言えない,あまりそう思わない,どちらとも言えない,どちらとも言えない,ややそう思う,どちらとも言えない,どちらとも言えない,あまりそう思わない,
2026/01/23 23:01:41,YM11,24,male,コントローラー,どちらとも言えない,あまりそう思わない,どちらとも言えない,あまりそう思わない,あまりそう思わない,ややそう思う,ややそう思う,どちらとも言えない,ややそう思う,あまりそう思わない,
2026/01/23 23:18:16,YM11,24,male,キーボード,どちらとも言えない,あまりそう思わない,あまりそう思わない,あまりそう思わない,どちらとも言えない,あまりそう思わない,あまりそう思わない,どちらとも言えない,どちらとも言えない,ややそう思う,
2026/01/24 0:06:50,YM11,24,male,提案デバイス,どちらとも言えない,あまりそう思わない,どちらとも言えない,あまりそう思わない,どちらとも言えない,あまりそう思わない,どちらとも言えない,どちらとも言えない,どちらとも言えない,あまりそう思わない,
2026/01/27 15:29:16,CS10,24,female,コントローラー,まったくそう思わない,あまりそう思わない,まったくそう思わない,ややそう思う,あまりそう思わない,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,まったくそう思わない,
2026/01/27 15:42:42,CS10,24,female,キーボード,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,とてもそう思う,ややそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,
2026/01/27 16:11:33,CS10,24,female,提案デバイス,ややそう思う,ややそう思う,どちらとも言えない,ややそう思う,とてもそう思う,あまりそう思わない,あまりそう思わない,あまりそう思わない,どちらとも言えない,とてもそう思う,使い慣れると普通のタイピングより格段に使いやすそうだと思いました